label,independent_units,qipedc_recordings,qipedc_videos,hcmue_videos,vslgh_signers,vslgh_segments,sources,surface_forms
vào mạng,1,0,0,1,0,0,hcmue,vào mạng
vá quần áo,1,1,1,0,0,0,qipedc,vá quần áo
vá xe,1,1,1,0,0,0,qipedc,vá xe
vác,1,1,1,0,0,0,qipedc,vác
vái lạy,1,1,1,0,0,0,qipedc,vái lạy
vái tứ phương,1,1,1,0,0,0,qipedc,vái tứ phương
váy,1,0,0,1,0,0,hcmue,váy
vây bắt,1,1,1,0,0,0,qipedc,vây bắt
vé,1,1,1,0,0,0,qipedc,vé
vén áo,6,0,0,0,6,14,vslgh,VÉN-ÁO
vênh váo,1,1,1,0,0,0,qipedc,vênh váo
vì sao?,2,2,3,0,0,0,qipedc,vì sao?
ví dụ,2,2,3,0,0,0,qipedc,ví dụ
vòi nước,1,1,1,0,0,0,qipedc,vòi nước
vòi voi,1,1,1,0,0,0,qipedc,vòi voi
vòm lá,1,1,1,0,0,0,qipedc,vòm lá
vòng,6,0,0,0,6,28,vslgh,VÒNG
vòng cung,1,1,1,0,0,0,qipedc,vòng cung
vòng nguyệt quế,1,1,1,0,0,0,qipedc,vòng nguyệt quế
vòng nách,1,0,0,1,0,0,hcmue,vòng nách
vòng quanh trái đất,1,1,1,0,0,0,qipedc,vòng quanh Trái Đất
vòng tròn,1,1,1,0,0,0,qipedc,vòng tròn
vòng đeo tay,1,1,1,0,0,0,qipedc,vòng đeo tay
vòng đời,1,1,1,0,0,0,qipedc,vòng đời
vô duyên,2,2,3,0,0,0,qipedc,vô duyên
vô lo vô nghĩ,1,1,1,0,0,0,qipedc,vô lo vô nghĩ
vô lí,1,1,1,0,0,0,qipedc,vô lí
vô tâm,1,1,1,0,0,0,qipedc,vô tâm
vô tình,1,1,1,0,0,0,qipedc,vô tình
vô tư,1,1,1,0,0,0,qipedc,vô tư
vô ý,1,1,1,0,0,0,qipedc,vô ý
vô ý thức,1,1,1,0,0,0,qipedc,vô ý thức
võ nguyên giáp,1,1,1,0,0,0,qipedc,Võ Nguyên Giáp
võ thuật,1,1,1,0,0,0,qipedc,võ thuật
võ thị sáu,1,1,1,0,0,0,qipedc,Võ Thị Sáu
võng (cái võng),1,1,1,0,0,0,qipedc,võng (cái võng)
vùng vẫy (dành cho người),1,1,1,0,0,0,qipedc,vùng vẫy (dành cho người)
văn,1,1,1,0,0,0,qipedc,văn
văn bản,1,1,1,0,0,0,qipedc,văn bản
văn miếu quốc tử giám,1,1,1,0,0,0,qipedc,Văn miếu Quốc Tử Giám
văn nghệ,2,2,3,0,0,0,qipedc,văn nghệ
vĩ cầm,1,1,1,0,0,0,qipedc,vĩ cầm
vĩ đại,1,1,1,0,0,0,qipedc,vĩ đại
vĩnh long,1,1,1,0,0,0,qipedc,Vĩnh Long
vĩnh phúc,1,1,1,0,0,0,qipedc,Vĩnh Phúc
vũ công,1,1,1,0,0,0,qipedc,vũ công
vũ trụ,1,1,1,0,0,0,qipedc,vũ trụ
vườn thú,1,1,1,0,0,0,qipedc,vườn thú
vượt trội,1,1,1,0,0,0,qipedc,vượt trội
vạch,1,0,0,1,0,0,hcmue,vạch
vạch trần,1,1,1,0,0,0,qipedc,vạch trần
vạch xuất phát,1,1,1,0,0,0,qipedc,vạch xuất phát
vạm vỡ,1,1,1,0,0,0,qipedc,vạm vỡ
vạt áo,1,1,1,0,0,0,qipedc,vạt áo
vải,1,0,0,1,0,0,hcmue,vải
vải (may mặc),1,0,0,1,0,0,hcmue,vải (may mặc)
vải lụa,2,2,3,0,0,0,qipedc,vải lụa
vấn đề,2,2,3,0,0,0,qipedc,vấn đề
vầng trăng,1,1,2,0,0,0,qipedc,vầng trăng
vẫn,2,2,3,0,0,0,qipedc,vẫn
vẫy tay,1,1,1,0,0,0,qipedc,vẫy tay
vẫy vùng (cá),1,1,1,0,0,0,qipedc,vẫy vùng (cá)
vận chuyển,1,1,1,0,0,0,qipedc,vận chuyển
vận tốc,1,1,1,0,0,0,qipedc,vận tốc
vận động,1,1,1,0,0,0,qipedc,vận động
vận động viên,1,0,0,1,0,0,hcmue,vận động viên
vật,1,1,1,0,0,0,qipedc,vật
vật nuôi,3,3,3,0,0,0,qipedc,vật nuôi
vắn tắt,1,1,1,0,0,0,qipedc,vắn tắt
vắng,3,3,3,0,0,0,qipedc,vắng
vắng lặng,1,1,1,0,0,0,qipedc,vắng lặng
vắt cam,1,1,1,0,0,0,qipedc,vắt cam
vắt chanh,1,1,1,0,0,0,qipedc,vắt chanh
vết thương,7,1,1,0,6,28,qipedc+vslgh,VẾT-THƯƠNG | vết thương
về,1,1,1,0,0,0,qipedc,về (Sài Gòn)
về 2,2,2,2,0,0,0,qipedc,về 2 (Miền Bắc)
về 3 (đi về),1,1,1,0,0,0,qipedc,về 3 (đi về)
về 4 (từ nơi khác về),1,1,1,0,0,0,qipedc,về 4 (từ nơi khác về)
về 5 (về nhà),1,1,1,0,0,0,qipedc,về 5 (về nhà)
vệ sinh cá nhân,1,1,1,0,0,0,qipedc,vệ sinh cá nhân
vị,6,0,0,0,6,14,vslgh,VỊ
vị ngữ,1,1,1,0,0,0,qipedc,vị ngữ
vị trí,1,1,1,0,0,0,qipedc,vị trí
vịnh,1,1,1,0,0,0,qipedc,vịnh
vịnh hạ long,1,1,1,0,0,0,qipedc,vịnh Hạ Long
vịt quay,1,1,1,0,0,0,qipedc,vịt quay
vỏ,1,1,1,0,0,0,qipedc,vỏ
vồ,1,1,1,0,0,0,qipedc,vồ
vỗ cánh,1,1,1,0,0,0,qipedc,vỗ cánh
vỗ tay,1,1,1,0,0,0,qipedc,vỗ tay
vỗ về,1,1,1,0,0,0,qipedc,vỗ về
vội vã,1,1,1,0,0,0,qipedc,vội vã
vớt,1,1,1,0,0,0,qipedc,vớt
vở chèo,1,1,1,0,0,0,qipedc,vở chèo
vỡ,1,1,1,0,0,0,qipedc,vỡ
vỡ lòng,1,1,1,0,0,0,qipedc,vỡ lòng
vợ,1,0,0,1,0,0,hcmue,vợ
vợ chồng,1,0,0,1,0,0,hcmue,vợ chồng
vợ con,1,0,0,1,0,0,hcmue,vợ con
vợt cầu lông,1,1,1,0,0,0,qipedc,vợt cầu lông
vừa,6,0,0,0,6,14,vslgh,VỪA
vững chắc,1,1,1,0,0,0,qipedc,vững chắc
vực sâu,1,1,1,0,0,0,qipedc,vực sâu
w,1,1,1,0,0,0,qipedc,w
wc,6,0,0,0,6,14,vslgh,WC
x,2,2,3,0,0,0,qipedc,x
x quang,6,0,0,0,6,42,vslgh,X-QUANG
xa cách,1,1,1,0,0,0,qipedc,xa cách
xa vô tận,1,1,1,0,0,0,qipedc,xa vô tận
xa xôi,1,1,1,0,0,0,qipedc,xa xôi
xanh xao,2,2,3,0,0,0,qipedc,xanh xao
xe ben,2,1,1,1,0,0,qipedc+hcmue,xe ben
xe buýt,1,0,0,1,0,0,hcmue,xe buýt
xe bò,1,0,0,1,0,0,hcmue,xe bò
xe container,1,1,1,0,0,0,qipedc,xe container
xe cảnh sát,2,2,3,0,0,0,qipedc,xe cảnh sát
xe cẩu,1,1,1,0,0,0,qipedc,xe cẩu
xe cứu hỏa,2,2,2,0,0,0,qipedc,xe cứu hỏa
xe cứu thương,2,1,1,1,0,0,qipedc+hcmue,xe cứu thương
xe gắn máy,1,0,0,1,0,0,hcmue,xe gắn máy
xe khách,3,3,3,0,0,0,qipedc,xe khách
xe lam,1,1,1,0,0,0,qipedc,xe lam
xe lu,1,1,1,0,0,0,qipedc,xe lu
xe máy,1,1,1,0,0,0,qipedc,xe máy
xe ngựa,1,0,0,1,0,0,hcmue,xe ngựa
xe tải,1,1,1,0,0,0,qipedc,xe tải
xe xích lô,1,0,0,1,0,0,hcmue,xe xích lô
xe ôm,1,0,0,1,0,0,hcmue,xe ôm
xe đạp,2,1,1,1,0,0,qipedc+hcmue,xe đạp
xem,8,2,3,0,6,28,qipedc+vslgh,XEM | xem
xem xét,1,1,1,0,0,0,qipedc,xem xét
xem đã,1,1,1,0,0,0,qipedc,xem đã
xen,1,1,1,0,0,0,qipedc,xen
xin,6,0,0,0,6,42,vslgh,XIN
xin lỗi,1,1,1,0,0,0,qipedc,xin lỗi
xin đường,1,0,0,1,0,0,hcmue,xin đường
xinh,1,1,1,0,0,0,qipedc,xinh
xinh xắn,1,1,1,0,0,0,qipedc,xinh xắn
xoa đầu,1,1,1,0,0,0,qipedc,xoa đầu
xong,6,0,0,0,6,42,vslgh,XONG
xong rồi,6,0,0,0,6,14,vslgh,XONG-RỒI
xoá bỏ,1,1,1,0,0,0,qipedc,xoá bỏ
xoáy,1,1,1,0,0,0,qipedc,xoáy
xu (tiền),1,1,1,0,0,0,qipedc,xu (tiền)
xui xẻo,1,1,1,0,0,0,qipedc,xui xẻo
xung phong,2,1,1,1,0,0,qipedc+hcmue,xung phong
xung quanh nhà,1,1,1,0,0,0,qipedc,xung quanh nhà
xung đột,1,1,1,0,0,0,qipedc,xung đột
xuyên việt,1,1,1,0,0,0,qipedc,xuyên Việt
xuất hiện,2,2,3,0,0,0,qipedc,xuất hiện
xuất khẩu,1,1,1,0,0,0,qipedc,xuất khẩu
xuống,7,1,1,0,6,14,qipedc+vslgh,XUỐNG | xuống
xà lan,1,0,0,1,0,0,hcmue,xà lan
xà phòng,3,3,3,0,0,0,qipedc,xà phòng
xà phòng giặt,2,2,3,0,0,0,qipedc,xà phòng giặt
xào,1,1,1,0,0,0,qipedc,xào
xác chết,1,1,1,0,0,0,qipedc,xác chết
xác định,1,1,1,0,0,0,qipedc,xác định
xách nặng,1,1,1,0,0,0,qipedc,xách nặng
xách túi,1,1,1,0,0,0,qipedc,xách túi
xâm hại tình dục,1,1,1,0,0,0,qipedc,xâm hại tình dục
xâm lược,1,1,1,0,0,0,qipedc,xâm lược
xây,2,2,3,0,0,0,qipedc,xây
xây nhà,1,1,1,0,0,0,qipedc,xây nhà
xã,1,1,1,0,0,0,qipedc,xã
xã hội,2,2,3,0,0,0,qipedc,xã hội
xé rách,1,1,1,0,0,0,qipedc,xé rách
xét nghiệm,6,0,0,0,6,126,vslgh,XÉT-NGHIỆM
xì hơi (đánh rắm),2,2,2,0,0,0,qipedc,xì hơi (đánh rắm)
xích đạo,1,1,1,0,0,0,qipedc,xích đạo
xóa bảng,1,1,1,0,0,0,qipedc,xóa bảng
xóm làng,1,1,1,0,0,0,qipedc,xóm làng
xô,1,1,1,0,0,0,qipedc,xô
xôi,1,1,1,0,0,0,qipedc,xôi
xôi gà,1,1,1,0,0,0,qipedc,xôi gà
xôi gấc,1,1,1,0,0,0,qipedc,xôi gấc
xông hơi,1,1,1,0,0,0,qipedc,xông hơi
xúc xắc,1,1,1,0,0,0,qipedc,xúc xắc
xăm,1,1,1,0,0,0,qipedc,xăm
xăng,1,1,1,0,0,0,qipedc,xăng
xăng ti mét (cm),1,1,1,0,0,0,qipedc,xăng-ti-mét (cm)
xăng ti mét khối (cm3),1,1,1,0,0,0,qipedc,xăng-ti-mét-khối (cm3)
xăng ti mét vuông (cm2),1,1,1,0,0,0,qipedc,xăng-ti-mét-vuông (cm2)
xưa,3,3,3,0,0,0,qipedc,xưa
xương rồng,1,1,1,0,0,0,qipedc,xương rồng
xả rác,1,1,1,0,0,0,qipedc,xả rác
xảy ra,1,1,1,0,0,0,qipedc,xảy ra
xẻng,1,1,1,0,0,0,qipedc,xẻng
xếp,1,1,1,0,0,0,qipedc,xếp
xếp hàng,1,1,1,0,0,0,qipedc,xếp hàng
xếp hàng dọc,1,1,1,0,0,0,qipedc,xếp hàng dọc
xếp hàng ngang,1,1,1,0,0,0,qipedc,xếp hàng ngang
xếp hàng ưu tiên,1,1,1,0,0,0,qipedc,xếp hàng ưu tiên
xếp hình,1,1,1,0,0,0,qipedc,xếp hình
xịt côn trùng,1,1,1,0,0,0,qipedc,xịt côn trùng
xứ nghệ,1,1,1,0,0,0,qipedc,xứ Nghệ
xử lý,1,1,1,0,0,0,qipedc,xử lý
y,2,1,1,1,0,0,qipedc+hcmue,y
y tá,6,0,0,0,6,14,vslgh,Y-TÁ
y tế,7,1,1,0,6,42,qipedc+vslgh,Y-TẾ | y tế
y éc xanh,1,1,1,0,0,0,qipedc,Y-Éc-Xanh
yên bái,1,1,1,0,0,0,qipedc,Yên Bái
yên bình,1,1,1,0,0,0,qipedc,yên bình
yên lòng,1,1,1,0,0,0,qipedc,yên lòng
yên ngựa,1,1,1,0,0,0,qipedc,yên ngựa
yên tâm,1,1,1,0,0,0,qipedc,yên tâm
yêu cầu,2,2,3,0,0,0,qipedc,yêu cầu
yêu mến (yêu quí),2,2,3,0,0,0,qipedc,yêu mến (yêu quí)
yêu nước việt nam,1,1,1,0,0,0,qipedc,yêu nước Việt Nam
yếm,1,1,1,0,0,0,qipedc,yếm
yếu,8,2,3,0,6,14,qipedc+vslgh,YẾU | yếu
yếu tố,1,1,1,0,0,0,qipedc,yếu tố
z,1,1,1,0,0,0,qipedc,z
ác,1,1,1,0,0,0,qipedc,ác
ác cảm,1,1,1,0,0,0,qipedc,ác cảm
ác mộng,1,1,1,0,0,0,qipedc,ác mộng
ác độc,1,1,1,0,0,0,qipedc,ác độc
áo,1,1,1,0,0,0,qipedc,áo
áo choàng,2,0,0,2,0,0,hcmue,áo choàng
áo cánh,1,1,1,0,0,0,qipedc,áo cánh
áo cưới,1,0,0,1,0,0,hcmue,áo cưới
áo cởi,6,0,0,0,6,14,vslgh,ÁO-CỞI
áo dài,1,0,0,1,0,0,hcmue,áo dài
áo gile,1,0,0,1,0,0,hcmue,áo gile
áo khoác,7,0,0,1,6,14,hcmue+vslgh,ÁO-KHOÁC | áo khoác
áo kẻ sọc,1,1,1,0,0,0,qipedc,áo kẻ sọc
áo len,3,1,1,2,0,0,qipedc+hcmue,áo len
áo mưa,1,0,0,1,0,0,hcmue,áo mưa
áo ngủ,1,0,0,1,0,0,hcmue,áo ngủ
áo phao,1,1,1,0,0,0,qipedc,áo phao
áo phông,3,3,3,0,0,0,qipedc,áo phông
áo sơ mi,1,0,0,1,0,0,hcmue,áo sơ mi
áo tắm,1,0,0,1,0,0,hcmue,áo tắm
áo đuôi tôm,1,0,0,1,0,0,hcmue,áo đuôi tôm
áo đầm,1,0,0,1,0,0,hcmue,áo đầm
áo đồng phục,2,2,3,0,0,0,qipedc,áo đồng phục
áo ấm,1,1,1,0,0,0,qipedc,áo ấm
áp phích,1,1,1,0,0,0,qipedc,áp phích
â,2,2,3,0,0,0,qipedc,â
âm thanh,2,1,1,1,0,0,qipedc+hcmue,âm thanh
âm ỉ,6,0,0,0,6,15,vslgh,ÂM-Ỉ
ân hận,3,3,3,0,0,0,qipedc,ân hận
ân nhân,1,0,0,1,0,0,hcmue,ân nhân
âu cơ,1,1,1,0,0,0,qipedc,Âu Cơ
ê,2,2,3,0,0,0,qipedc,ê
ê buốt,6,0,0,0,6,14,vslgh,Ê-BUỐT
ê ti ô pi a (nước ê ti ô pi a),1,1,1,0,0,0,qipedc,Ê-ti-ô-pi-a (nước Ê-ti-ô-pi-a)
ê đê,1,1,1,0,0,0,qipedc,Ê Đê
ích lợi,1,1,1,0,0,0,qipedc,ích lợi
ít,7,1,1,0,6,28,qipedc+vslgh,ÍT | ít
ít hơn,1,1,1,0,0,0,qipedc,ít hơn
ít nhất,1,1,1,0,0,0,qipedc,ít nhất
óc,1,1,1,0,0,0,qipedc,óc
ô,3,2,3,1,0,0,qipedc+hcmue,ô
ô lim píc,1,1,1,0,0,0,qipedc,Ô-lim-píc
ô nhiễm,1,1,1,0,0,0,qipedc,ô nhiễm
ô tô,1,1,1,0,0,0,qipedc,ô tô
ô ăn quan,1,1,1,0,0,0,qipedc,ô ăn quan
ôm,1,1,1,0,0,0,qipedc,ôm
ôn luyện,1,1,1,0,0,0,qipedc,ôn luyện
ôn tập,1,1,1,0,0,0,qipedc,ôn tập
ông,1,0,0,1,0,0,hcmue,ông
ông bà,2,2,3,0,0,0,qipedc,ông bà
ông già,1,1,1,0,0,0,qipedc,ông già
ông ngoại,3,2,3,1,0,0,qipedc+hcmue,ông ngoại
ông nội,4,3,3,1,0,0,qipedc+hcmue,ông nội
ù,6,0,0,0,6,14,vslgh,Ù
úp,1,1,1,0,0,0,qipedc,úp
ý chí,1,1,1,0,0,0,qipedc,ý chí
ý nghĩa,2,2,3,0,0,0,qipedc,ý nghĩa
ý thức,1,1,1,0,0,0,qipedc,ý thức
ý tưởng,1,1,1,0,0,0,qipedc,ý tưởng
ă,2,2,3,0,0,0,qipedc,ă
ăn,6,0,0,0,6,154,vslgh,ĂN
ăn bám,1,1,1,0,0,0,qipedc,ăn bám
ăn cóc,1,1,1,0,0,0,qipedc,ăn cóc
ăn diện,1,1,1,0,0,0,qipedc,ăn diện
ăn hối lộ,1,1,1,0,0,0,qipedc,ăn hối lộ
ăn uống,1,1,1,0,0,0,qipedc,ăn uống
ăn vú sữa,1,1,1,0,0,0,qipedc,ăn vú sữa
ăn vú sữa (bằng thìa),1,1,1,0,0,0,qipedc,ăn vú sữa (bằng thìa)
ăn vặt,1,1,1,0,0,0,qipedc,ăn vặt
ăn vụng,1,1,1,0,0,0,qipedc,ăn vụng
ăn vừa,1,1,1,0,0,0,qipedc,ăn vừa
ăn xin,1,1,1,0,0,0,qipedc,ăn xin
ăn ít,1,1,1,0,0,0,qipedc,ăn ít
ăn đủ,1,1,1,0,0,0,qipedc,ăn đủ
đ,2,1,1,1,0,0,qipedc+hcmue,đ
đan,1,1,1,0,0,0,qipedc,đan
đang,6,0,0,0,6,28,vslgh,ĐANG
đau,6,0,0,0,6,350,vslgh,ĐAU
đau bụng,7,1,1,0,6,28,qipedc+vslgh,ĐAU-BỤNG | đau bụng
đau chân,1,1,1,0,0,0,qipedc,đau chân
đau không,6,0,0,0,6,14,vslgh,ĐAU-KHÔNG
đau mắt,1,1,1,0,0,0,qipedc,đau mắt
đau mắt đỏ,1,1,1,0,0,0,qipedc,đau mắt đỏ
đau tai,1,1,1,0,0,0,qipedc,đau tai
đau tay,1,1,1,0,0,0,qipedc,đau tay
đen láy (như đen nhánh),2,2,3,0,0,0,qipedc,đen láy (như đen nhánh)
đen đủi,1,1,1,0,0,0,qipedc,đen đủi
đeo kính,7,1,1,0,6,28,qipedc+vslgh,ĐEO-KÍNH | đeo kính
đeo tay,6,0,0,0,6,28,vslgh,ĐEO-TAY
đi,7,1,1,0,6,42,qipedc+vslgh,ĐI | đi
đi dạo,2,2,3,0,0,0,qipedc,đi dạo
đi học,1,1,1,0,0,0,qipedc,đi học
"đi lạc (đường, rừng..)",1,1,1,0,0,0,qipedc,"đi lạc (đường, rừng..)"
đi tuần,1,1,1,0,0,0,qipedc,đi tuần
đi vệ sinh,1,1,1,0,0,0,qipedc,đi vệ sinh
đinh,1,1,1,0,0,0,qipedc,đinh
điêu khắc,1,1,1,0,0,0,qipedc,điêu khắc
điều hòa,2,2,2,0,0,0,qipedc,điều hòa
điều khiển,1,1,1,0,0,0,qipedc,điều khiển
điều kiện,1,1,1,0,0,0,qipedc,điều kiện
điều phối,2,2,2,0,0,0,qipedc,điều phối
điều tra,1,1,1,0,0,0,qipedc,điều tra
điều trị,1,1,1,0,0,0,qipedc,điều trị
điểm ở giữa đoạn thẳng,1,1,1,0,0,0,qipedc,điểm ở giữa đoạn thẳng
điện,8,2,3,0,6,14,qipedc+vslgh,ĐIỆN | điện
điện biên phủ,1,1,1,0,0,0,qipedc,Điện Biên Phủ
điện thoại,7,1,1,0,6,14,qipedc+vslgh,ĐIỆN-THOẠI | điện thoại
đo,7,1,1,0,6,154,qipedc+vslgh,ĐO | đo
đoàn cải lương,1,1,1,0,0,0,qipedc,đoàn cải lương
đoàn kết,2,0,0,2,0,0,hcmue,đoàn kết
đoàn thanh niên,1,1,1,0,0,0,qipedc,đoàn thanh niên
đoàn thuyền,1,0,0,1,0,0,hcmue,đoàn thuyền
đoàn tụ,1,1,1,0,0,0,qipedc,đoàn tụ
đoán,1,1,1,0,0,0,qipedc,đoán
đoạn thơ,1,1,1,0,0,0,qipedc,đoạn thơ
đoạn thẳng,1,1,1,0,0,0,qipedc,đoạn thẳng
đoạn văn,1,1,1,0,0,0,qipedc,đoạn văn
đu bai (nước đu bai),1,1,1,0,0,0,qipedc,Đu Bai (nước Đu Bai)
đua ngựa,1,1,1,0,0,0,qipedc,đua ngựa
đua thuyền,1,1,1,0,0,0,qipedc,đua thuyền
đua xe máy,1,1,1,0,0,0,qipedc,đua xe máy
đua đòi,1,1,1,0,0,0,qipedc,đua đòi
đun nấu,1,1,1,0,0,0,qipedc,đun nấu
đuôi,1,1,1,0,0,0,qipedc,đuôi
đuôi chuột,1,1,1,0,0,0,qipedc,đuôi chuột
đuôi cá,1,1,1,0,0,0,qipedc,đuôi cá
đuốc,1,1,1,0,0,0,qipedc,đuốc
đài sen,1,1,1,0,0,0,qipedc,đài sen
đàn bướm,1,1,1,0,0,0,qipedc,đàn bướm
đàn bầu,1,1,1,0,0,0,qipedc,đàn bầu
đàn ghi ta,1,1,1,0,0,0,qipedc,đàn ghi ta
đàn kiến,1,1,1,0,0,0,qipedc,đàn kiến
đàn tơ rưng,1,1,1,0,0,0,qipedc,đàn tơ-rưng
đàn xê lô đại vĩ cầm,1,1,1,0,0,0,qipedc,đàn xê lô đại vĩ cầm
đàng hoàng,1,1,1,0,0,0,qipedc,đàng hoàng
đàng ngoài,1,1,1,0,0,0,qipedc,đàng ngoài
đàng trong,1,1,1,0,0,0,qipedc,đàng trong
đào tạo,1,1,1,0,0,0,qipedc,đào tạo
đá bóng,3,1,1,2,0,0,qipedc+hcmue,đá bóng
đá cầu,1,0,0,1,0,0,hcmue,đá cầu
đám ma,1,1,1,0,0,0,qipedc,đám ma
đám mây,1,1,1,0,0,0,qipedc,đám mây
đáng lo,6,0,0,0,6,14,vslgh,ĐÁNG-LO
đáng quý,1,1,1,0,0,0,qipedc,đáng quý
đánh,1,1,1,0,0,0,qipedc,đánh
đánh bắt,1,1,1,0,0,0,qipedc,đánh bắt
đánh cầu lông,1,1,1,0,0,0,qipedc,đánh cầu lông
đánh giá,1,1,1,0,0,0,qipedc,đánh giá
đánh răng,2,2,2,0,0,0,qipedc,đánh răng
đánh trống,1,1,1,0,0,0,qipedc,đánh trống
đâm,1,0,0,1,0,0,hcmue,đâm
đâu,6,0,0,0,6,42,vslgh,ĐÂU
đây,6,0,0,0,6,65,vslgh,ĐÂY
đèn báo giao thông,2,2,3,0,0,0,qipedc,đèn báo giao thông
đèn lồng,1,1,1,0,0,0,qipedc,đèn lồng
đèn pin,3,3,3,0,0,0,qipedc,đèn pin
đèn vàng,3,3,3,0,0,0,qipedc,đèn vàng
đèn xanh,3,3,3,0,0,0,qipedc,đèn xanh
đèn ông sao,1,1,1,0,0,0,qipedc,đèn ông sao
đèn điện,2,2,3,0,0,0,qipedc,đèn điện
đèn đỏ,1,1,1,0,0,0,qipedc,đèn đỏ
đèo,1,1,1,0,0,0,qipedc,đèo
đèo hải vân,2,2,3,0,0,0,qipedc,đèo Hải Vân
đêm,6,0,0,0,6,14,vslgh,ĐÊM
đích,2,1,1,1,0,0,qipedc+hcmue,đích
đòi,1,1,1,0,0,0,qipedc,đòi
đòi hỏi,1,1,1,0,0,0,qipedc,đòi hỏi
đói,6,0,0,0,6,14,vslgh,ĐÓI
đói không?,1,1,1,0,0,0,qipedc,đói không?
đón,1,1,1,0,0,0,qipedc,đón
đón tiếp,1,1,1,0,0,0,qipedc,đón tiếp
đóng,6,0,0,0,6,14,vslgh,ĐÓNG
đóng cửa,1,1,1,0,0,0,qipedc,đóng cửa
đóng dấu,1,1,1,0,0,0,qipedc,đóng dấu
đóng góp,1,1,1,0,0,0,qipedc,đóng góp
đóng tiền,6,0,0,0,6,28,vslgh,ĐÓNG-TIỀN
đô thị,1,1,1,0,0,0,qipedc,đô thị
đôi chân,1,1,1,0,0,0,qipedc,đôi chân
đôi dép,1,1,1,0,0,0,qipedc,đôi dép
đôi tay,1,1,1,0,0,0,qipedc,đôi tay
đôi/cặp,1,1,1,0,0,0,qipedc,đôi/cặp
đông dương,1,1,1,0,0,0,qipedc,Đông Dương
đông lạnh,1,1,1,0,0,0,qipedc,đông lạnh
đông nam,1,1,1,0,0,0,qipedc,Đông Nam
đông nam á,1,1,1,0,0,0,qipedc,Đông Nam Á
đông timor (nước đông timor),1,1,1,0,0,0,qipedc,Đông Timor (nước Đông Timor)
đùa,2,2,3,0,0,0,qipedc,đùa
đùm bọc,1,1,1,0,0,0,qipedc,đùm bọc
đúng không,6,0,0,0,6,42,vslgh,ĐÚNG-KHÔNG
đúng không?,3,3,3,0,0,0,qipedc,đúng không?
đăng ký,7,1,1,0,6,28,qipedc+vslgh,ĐĂNG-KÝ | đăng ký
đăng nhập,2,1,1,1,0,0,qipedc+hcmue,đăng nhập
đĩa,1,1,1,0,0,0,qipedc,đĩa
đĩa cd,1,0,0,1,0,0,hcmue,đĩa cd
đĩa dvd,1,1,1,0,0,0,qipedc,đĩa DVD
đũa,1,1,1,0,0,0,qipedc,đũa
đơn,6,0,0,0,6,14,vslgh,ĐƠN
đơn giản,1,1,1,0,0,0,qipedc,đơn giản
đưa đón,1,1,1,0,0,0,qipedc,đưa đón
đường biên giới,1,1,1,0,0,0,qipedc,đường biên giới
đường bộ,1,1,1,0,0,0,qipedc,đường bộ
đường cao,1,1,1,0,0,0,qipedc,đường cao
đường chéo,1,1,1,0,0,0,qipedc,đường chéo
đường chính trung,1,0,0,1,0,0,hcmue,đường chính trung
đường chỉ tay,1,1,1,0,0,0,qipedc,đường chỉ tay
đường góc đáy thân trước,2,0,0,2,0,0,hcmue,đường góc đáy thân trước
đường hàng không,1,1,1,0,0,0,qipedc,đường hàng không
đường hầm,1,1,1,0,0,0,qipedc,đường hầm
đường khuy nút,1,0,0,1,0,0,hcmue,đường khuy nút
đường kính,1,1,1,0,0,0,qipedc,đường kính
đường một chiều,1,0,0,1,0,0,hcmue,đường một chiều
đường nguyễn huệ,1,1,1,0,0,0,qipedc,đường Nguyễn Huệ
đường ray xe lửa,1,1,1,0,0,0,qipedc,đường ray xe lửa
đường sắt,1,1,1,0,0,0,qipedc,đường sắt
đường thuỷ,1,1,1,0,0,0,qipedc,đường thuỷ
đường thẳng,1,1,1,0,0,0,qipedc,đường thẳng
đường tròn,1,1,1,0,0,0,qipedc,đường tròn
được không,6,0,0,0,6,68,vslgh,ĐƯỢC-KHÔNG
đại diện,2,2,3,0,0,0,qipedc,đại diện
đại dương,1,1,1,0,0,0,qipedc,đại dương
đại số,1,1,1,0,0,0,qipedc,đại số
đại sứ,1,1,1,0,0,0,qipedc,đại sứ
đại tá,1,1,1,0,0,0,qipedc,đại tá
đại tướng,1,1,1,0,0,0,qipedc,đại tướng
đại úy,1,1,1,0,0,0,qipedc,đại úy
đạn,1,1,1,0,0,0,qipedc,đạn
đạo diễn,1,1,1,0,0,0,qipedc,đạo diễn
đảm nhiệm,1,1,1,0,0,0,qipedc,đảm nhiệm
đảng,1,1,1,0,0,0,qipedc,Đảng
đảo,1,1,1,0,0,0,qipedc,đảo
đảo hoàng sa,1,1,1,0,0,0,qipedc,đảo Hoàng Sa
đảo lý sơn,1,1,1,0,0,0,qipedc,đảo Lý Sơn
đảo phú quốc,1,1,1,0,0,0,qipedc,đảo Phú Quốc
đảo trường sa,1,1,1,0,0,0,qipedc,đảo Trường Sa
đất,1,1,1,0,0,0,qipedc,đất
đất màu mỡ,1,1,1,0,0,0,qipedc,đất màu mỡ
đất nước bị chia cắt (việt nam),1,1,1,0,0,0,qipedc,đất nước bị chia cắt (Việt Nam)
đất nặn,1,1,1,0,0,0,qipedc,đất nặn
đất ruộng,1,1,1,0,0,0,qipedc,đất ruộng
