label,independent_units,qipedc_recordings,qipedc_videos,hcmue_videos,vslgh_signers,vslgh_segments,sources,surface_forms
thừa thiên – huế,3,3,3,0,0,0,qipedc,Thừa Thiên – Huế
thực hiện,1,1,1,0,0,0,qipedc,thực hiện
thực hành,1,1,1,0,0,0,qipedc,thực hành
thực phẩm,1,1,1,0,0,0,qipedc,thực phẩm
thực sự,1,1,1,0,0,0,qipedc,thực sự
thực tế,1,1,1,0,0,0,qipedc,thực tế
thực vật,1,1,1,0,0,0,qipedc,thực vật
ti hí mắt,1,1,1,0,0,0,qipedc,ti hí mắt
tia chớp,1,1,1,0,0,0,qipedc,tia chớp
tia nắng,1,1,1,0,0,0,qipedc,tia nắng
tia số,1,1,1,0,0,0,qipedc,tia số
tim,7,1,1,0,6,42,qipedc+vslgh,TIM | tim
tin cậy,1,1,1,0,0,0,qipedc,tin cậy
tin học,1,1,1,0,0,0,qipedc,tin học
tin nhắn,1,1,1,0,0,0,qipedc,tin nhắn
tin tức,1,1,1,0,0,0,qipedc,tin tức
tinh mắt,1,1,1,0,0,0,qipedc,tinh mắt
tinh trùng,1,1,1,0,0,0,qipedc,tinh trùng
tiêm,1,1,1,0,0,0,qipedc,tiêm
tiêu chảy,6,0,0,0,6,14,vslgh,TIÊU-CHẢY
tiêu cực,1,1,1,0,0,0,qipedc,tiêu cực
tiêu diệt,3,1,1,2,0,0,qipedc+hcmue,tiêu diệt
tiêu hoá,1,1,1,0,0,0,qipedc,tiêu hoá
tiếc,2,2,3,0,0,0,qipedc,tiếc
tiến bộ,1,1,1,0,0,0,qipedc,tiến bộ
tiến sĩ,1,1,1,0,0,0,qipedc,tiến sĩ
tiếng anh,2,2,3,0,0,0,qipedc,tiếng Anh
tiếng nói,1,1,1,0,0,0,qipedc,tiếng nói
tiếp,6,0,0,0,6,14,vslgh,TIẾP
tiếp nhận,1,1,1,0,0,0,qipedc,tiếp nhận
tiếp theo,1,1,1,0,0,0,qipedc,tiếp theo
tiếp thu,1,1,1,0,0,0,qipedc,tiếp thu
tiếp tân,1,1,1,0,0,0,qipedc,tiếp tân
tiếp tục,2,2,3,0,0,0,qipedc,tiếp tục
tiết kiệm,3,3,3,0,0,0,qipedc,tiết kiệm
tiền,6,0,0,0,6,28,vslgh,TIỀN
tiền giang,1,1,1,0,0,0,qipedc,Tiền Giang
tiền sử,6,0,0,0,6,14,vslgh,TIỀN-SỬ
tiểu,6,0,0,0,6,27,vslgh,TIỂU
tiểu học,1,1,1,0,0,0,qipedc,tiểu học
tiểu đường,6,0,0,0,6,14,vslgh,TIỂU-ĐƯỜNG
tiểu đội,1,0,0,1,0,0,hcmue,tiểu đội
tiệc,1,1,1,0,0,0,qipedc,tiệc
tiện nghi,1,1,1,0,0,0,qipedc,tiện nghi
to lớn,1,1,1,0,0,0,qipedc,to lớn
toa lét,1,1,1,0,0,0,qipedc,toa lét
toa xe,2,2,3,0,0,0,qipedc,toa xe
toà án,2,2,3,0,0,0,qipedc,toà án
toàn cầu,1,1,1,0,0,0,qipedc,toàn cầu
trang phục,1,1,1,0,0,0,qipedc,trang phục
trang trí,1,1,1,0,0,0,qipedc,trang trí
trang điểm,2,1,1,1,0,0,qipedc+hcmue,trang điểm
tranh luận,1,1,1,0,0,0,qipedc,tranh luận
trao tặng,1,1,1,0,0,0,qipedc,trao tặng
tre,3,3,3,0,0,0,qipedc,tre
tri kỉ,1,1,1,0,0,0,qipedc,tri kỉ
triều cường,1,1,1,0,0,0,qipedc,triều cường
triều đình,1,1,1,0,0,0,qipedc,triều đình
triệu phú,1,1,1,0,0,0,qipedc,triệu phú
trong khoảng,1,1,1,0,0,0,qipedc,trong khoảng
trong ngoài,2,2,3,0,0,0,qipedc,trong ngoài
trong suốt,1,1,1,0,0,0,qipedc,trong suốt
trong sáng,1,1,1,0,0,0,qipedc,trong sáng
trung bình,1,1,1,0,0,0,qipedc,trung bình
trung quốc (nước trung quốc),2,2,3,0,0,0,qipedc,Trung Quốc (nước Trung Quốc)
trung thu,2,2,3,0,0,0,qipedc,Trung Thu
trung thành,1,1,1,0,0,0,qipedc,trung thành
trung tâm,1,1,1,0,0,0,qipedc,trung tâm
trung điểm,1,1,1,0,0,0,qipedc,trung điểm
trung ương,1,1,1,0,0,0,qipedc,trung ương
truyền dịch,1,1,1,0,0,0,qipedc,truyền dịch
truyền thông,1,1,1,0,0,0,qipedc,truyền thông
truyền thống,1,1,1,0,0,0,qipedc,truyền thống
trà,1,1,1,0,0,0,qipedc,trà
trà nóng,1,1,1,0,0,0,qipedc,trà nóng
trà sữa,1,1,1,0,0,0,qipedc,trà sữa
trà vinh,1,1,1,0,0,0,qipedc,Trà Vinh
trà đá,1,1,1,0,0,0,qipedc,trà đá
tràn ngập (nước),1,1,1,0,0,0,qipedc,tràn ngập (nước)
trách mắng,1,1,1,0,0,0,qipedc,trách mắng
trách nhiệm,1,1,1,0,0,0,qipedc,trách nhiệm
trái,6,0,0,0,6,14,vslgh,TRÁI
trái nghĩa,1,1,2,0,0,0,qipedc,trái nghĩa
trám,6,0,0,0,6,14,vslgh,TRÁM
